index,Full_name,Nationality
603,Azzedine Ounahi,Morocco
604,Abderrazak Hamdallah,Morocco
605,Anass Zaroury,Belgium
606,Abdelhamid Sabiri,Morocco
607,Munir Mohamedi,Morocco
608,Ilias Chair,Morocco
609,Zakaria Aboukhlal,Morocco
610,Selim Amallah,Morocco
611,Abde Ezzalzouli,Morocco
612,Sofiane Boufal,Morocco
613,Jawad El Yamiq,Morocco
614,Youssef En-Nesyri,Morocco
615,Achraf Dari,Morocco
616,Walid Cheddira,Morocco
617,Ahmed Reda Tagnaouti,Morocco
618,Bilal El Khannous,Morocco
619,Badr Benoun,Morocco
620,Yahia Attiyat Allah,Morocco
621,Yahya Jabrane,Morocco
622,Alisson,Brazil
623,Danilo,Brazil
624,Thiago Silva,Brazil
625,Marquinhos,Brazil
626,Casemiro,Brazil
627,Alex Sandro,Brazil
628,Lucas Paquetá,Brazil
629,Fred,Brazil
630,Richarlison,Brazil
631,Neymar,Brazil
632,Raphinha,Brazil
633,Weverton,Brazil
634,Dani Alves,Brazil
635,Éder Militão,Brazil
636,Fabinho,Brazil
637,Alex Telles,Brazil
638,Bruno Guimarães,Brazil
639,Gabriel Jesus,Brazil
640,Antony,Brazil
641,Vinícius Júnior,Brazil
642,Rodrygo,Brazil
643,Éverton Ribeiro,Brazil
644,Ederson,Brazil
645,Bremer,Brazil
646,Pedro,Brazil
647,Gabriel Martinelli,Brazil
648,Simon Ngapandouetnbu,Cameroon
649,Jerome Ngom Mbekeli,Cameroon
650,Nicolas Nkoulou,Cameroon
651,Christopher Wooh,Cameroon
652,Gaël Ondoua,Cameroon
653,Moumi Ngamaleu,Cameroon
654,Georges-Kévin Nkoudou,Cameroon
655,André-Frank Zambo Anguissa,Cameroon
656,Jean-Pierre Nsame,Cameroon
657,Vincent Aboubakar,Cameroon
658,Christian Bassogog,Cameroon
659,Karl Toko Ekambi,Cameroon
660,Eric Maxim Choupo-Moting,Cameroon
661,Samuel Gouet,Cameroon
662,Pierre Kunde,Cameroon
663,Devis Epassy,Cameroon
664,Olivier Mbaizo,Cameroon
665,Martin Hongla,Cameroon
666,Collins Fai,Cameroon
667,Bryan Mbeumo,Cameroon
668,Jean-Charles Castelletto,Cameroon
669,Olivier Ntcham,Cameroon
670,André Onana,Cameroon
671,Enzo Ebosse,Cameroon
672,Nouhou Tolo,Cameroon
673,Souaibou Marou,Cameroon
674,Marko Dmitrović,Serbia
675,Strahinja Pavlović,Serbia
676,Strahinja Eraković,Serbia
677,Nikola Milenković,Serbia
678,Miloš Veljković,Serbia
679,Nemanja Maksimović,Serbia
680,Nemanja Radonjić,Serbia
681,Nemanja Gudelj,Serbia
682,Aleksandar Mitrović,Serbia
683,Dušan Tadić,Serbia
684,Luka Jović,Serbia
685,Predrag Rajković,Serbia
686,Stefan Mitrović,Serbia
687,Andrija Živković,Serbia
688,Srđan Babić,Serbia
689,Saša Lukić,Serbia
690,Filip Kostić,Serbia
691,Dušan Vlahović,Serbia
692,Uroš Račić,Serbia
693,Sergej Milinković-Savić,Serbia
694,Filip Đuričić,Serbia
695,Darko Lazović,Serbia
696,Vanja Milinković-Savić,Serbia
697,Ivan Ilić,Serbia
698,Filip Mladenović,Serbia
699,Marko Grujić,Serbia
700,Yann Sommer,Switzerland
701,Edimilson Fernandes,Switzerland
702,Silvan Widmer,Switzerland
703,Nico Elvedi,Switzerland
704,Manuel Akanji,Switzerland
705,Denis Zakaria,Switzerland
706,Breel Embolo,Switzerland
707,Remo Freuler,Switzerland
708,Haris Seferovic,Switzerland
709,Granit Xhaka,Switzerland
710,Renato Steffen,Switzerland
711,Jonas Omlin,Switzerland
