index,Full_name,Nationality,is_ovr,Overall,Potential,Age,Position,is_time,played_time
158,Tyler Adams,USA,1,76,80,23,CDM,1,1023
159,Antonee Robinson,USA,1,74,77,24,LWB,0,0
160,Yunus Musah,USA,1,74,83,19,CAM,0,0
161,Giovanni Reyna,USA,1,77,86,19,CAM,1,192
162,Weston McKennie,USA,1,80,85,23,CM,1,624
163,Jesús Ferreira,USA,0,0,0,0,0,0,0
164,Christian Pulisic,USA,1,82,88,23,RM,1,615
165,Brenden Aaronson,USA,1,74,81,21,CAM,1,661
166,Ethan Horvath,USA,1,71,74,27,GK,1,0
167,Tim Ream,USA,1,70,70,34,CB,1,90
168,Luca de la Torre,USA,1,71,77,24,CM,1,237
169,Aaron Long,USA,1,73,73,29,CB,1,36
170,Jordan Morris,USA,1,71,71,27,ST,1,133
171,Cristian Roldan,USA,1,75,75,27,CM,1,75
172,Shaq Moore,USA,0,0,0,0,0,0,0
173,Haji Wright,USA,1,68,74,24,ST,1,73
174,Cameron Carter-Vickers,USA,1,74,83,24,CB,1,44
175,Timothy Weah,USA,1,74,81,22,CAM,1,591
176,DeAndre Yedlin,USA,1,70,70,28,RB,1,500
177,Kellyn Acosta,USA,1,72,73,26,CM,1,671
178,Josh Sargent,USA,1,69,74,22,ST,1,117
179,Sean Johnson,USA,1,73,73,33,GK,1,0
180,Joe Scally,USA,1,72,82,19,RB,0,0
181,Wayne Hennessey,Wales,1,74,74,35,GK,1,180
182,Chris Gunter,Wales,1,62,62,32,RWB,1,247
183,Neco Williams,Wales,1,71,82,21,RWB,1,616
184,Ben Davies,Wales,1,79,79,29,CB,1,540
185,Chris Mepham,Wales,1,71,74,24,CB,1,592
186,Joe Rodon,Wales,1,72,80,24,CB,1,720
187,Joe Allen,Wales,1,71,71,32,CDM,1,728
188,Harry Wilson,Wales,1,76,79,25,CAM,1,478
189,Brennan Johnson,Wales,1,75,85,21,RM,1,135
190,Aaron Ramsey,Wales,1,76,76,31,CM,1,511
191,Gareth Bale,Wales,1,81,81,32,ST,1,573
192,Danny Ward,Wales,1,75,75,29,GK,1,720
193,Kieffer Moore,Wales,1,73,73,29,ST,0,0
194,Connor Roberts,Wales,1,75,76,26,RB,1,640
195,Ethan Ampadu,Wales,1,73,80,21,CDM,1,720
196,Joe Morrell,Wales,1,67,69,25,CM,0,0
197,Tom Lockyer,Wales,1,70,70,27,CB,1,0
198,Jonny Williams,Wales,1,62,62,28,CAM,0,0
199,Mark Harris,Wales,1,67,72,23,RM,1,79
200,Daniel James,Wales,1,77,82,24,RM,1,865
201,Adam Davies,Wales,1,70,70,29,GK,1,0
202,Sorba Thomas,Wales,1,71,76,23,RM,0,0
203,Dylan Levitt,Wales,1,66,80,21,CAM,1,0
204,Ben Cabango,Wales,1,70,80,22,CB,1,0
205,Rubin Colwill,Wales,1,67,79,20,CAM,1,57
206,Matthew Smith,England,1,64,74,21,CM,0,0
207,Franco Armani,Argentina,1,79,79,35,GK,1,900
208,Juan Foyth,Argentina,1,79,84,24,CB,1,362
209,Nicolás Tagliafico,Argentina,1,81,81,29,LB,1,1686
210,Gonzalo Montiel,Argentina,1,79,81,25,RWB,1,1363
211,Leandro Paredes,Argentina,1,80,80,28,CDM,1,2419
212,Germán Pezzella,Argentina,1,77,77,31,CB,1,1045
213,Rodrigo De Paul,Argentina,0,0,0,0,0,0,0
214,Marcos Acuña,Argentina,1,85,85,30,LB,1,1546
